# NOVEDADES DE CAMARAS

# DOMINGO 12-10-2025

|  | TOTAL, DE CAMARAS | OPERATIVA | NO OPERATIVA | OBSERVACION |
| --- | --- | --- | --- | --- |
| 01-ACCESOS | 22 |  | NO TOTAS | ED-UA_Vehicular_02 (Telas de araña) se visualiza con visión nocturna. ED-CA_Poste_PTZ-2 (Telas de araña) se visualiza con visión nocturna. ED-UA_Peatonal_02 (Telas de araña) se visualiza con visión nocturna. ED-Mecanica_EX_Etacionamiento (Telas de araña) se visualiza con visión nocturna. Cámara, Ent_vehicular_88. Queda operativa, pero se ve borrosa. |
|  |  |  |  |  |
| 02- AGRONOMIA | 06 | TODAS | 06 |  |
| 03- ANGOL | 24 | TODAS |  | Camera 09 (Borrosa). NVR 2 Cam 08 (con franjas y telas de arañas) Cámara 10 (telas de araña), se divisa con visión nocturna. Camera 08, imagen se ve borrosa y oscura. NVR 2 Camera 08 (telas de araña), se divisa con visión nocturna. Camera 07- Borrosa. |
| 04- BICICLETERO | 07 |  |  |  |
| 05- CAJAS DEL D | 07 | TODAS | 01 | CAMARA atrás_PANORAMICA (DESCONECTADA) |
| 06-CAM-PTZ | 22 | TODAS | 02 | PTZ -V_L_NUCLEO CON UNA MANCHA EN EL LENTE.  PTZ. _AM_ENTRADA HAY PROBLEMAS CON EL ZOOM. PTZ_DECANATO MANTIENE LA MICA CON HUEVOS DE BICHOS. PTZ DIS destruida por alumnos. PTZ-Hogares, visual borrosa |
| 07-CCAA | 03 | TODAS |  |  |
| 08- CEMYQ | 04 |  |  |  |
| 09- CLINICA DE ANIMALES MENORES | 10 | TODAS |  | ED -CAM_EXCostado-02 (telas de araña) se visualiza con visión nocturna. |
| 10- COMPUTECA | 06 | TODAS |  |  |
| 11-2030 | 05 |  |  | 03 BORROSAS, EN HORARIO NOCTURNO. |
| 12-PABELLON A | 06 | TODAS |  |  |
| 13-ABASTECIMIENTO | 02 |  |  |  |
| 14-PABELLON B | 08 | TODAS |  |  |
| 15-BIOCIENCIAS | 10 | TODAS |  |  |
| 16-BIOREN | 06 |  |  | Se quita la cámara BIOREN_1p_Pasillo. Queda 05 cámaras visibles. |
| 17-BUNKER | 04 | TODAS |  | Bunker_EX_Entrada, Mancha en el lente.  Bunker_EX_costado (telas de araña) se visualiza con visión nocturna. Bunker_EX_Entrada (telas de araña)  Se visualiza con visión nocturna. |
| 18-PABELLON C | 04 |  |  |  |
| 19-ED-DDE | 01 | TODAS |  |  |
| 20-DIFEM | 09 | TODAS |  |  |
| 21-DINFO  21-BURO | 05  04 | TODAS  TODAS |  |  |
| 22-DIRCOM | 01 | TODA |  |  |
| 23-DIS | 01 |  |  |  |
| 24-ED GOBERNANZA | 01 | TODA |  |  |
| 25-PABELLON N | 05 | TODAS |  |  |
| 26-PABELLON L | 05 | TODAS |  |  |
| 27-MATEMATICAS | 16 | TODAS |  | ED-MAT_1P_PATIO-1(telas de araña) se visualiza con visión nocturna. |
| 28-MECANICA | 02 | TODAS |  |  |
| 29-MUSCULACION | 04 | TODAS |  |  |
| 30-NUCLEO | 05 |  |  |  |
| 31-PABELLON O | 10 | TODAS |  | Ed O_3P_Salida Emergencia conectada, pero con mica rallada, informada por técnico No se visualiza imagen con visión nocturna. ED-O_3P_Escalera no se visualiza imagen con visión nocturna. ED-O_1P_Entrada, mica rallada. No se visualiza imagen con visión nocturna. ED-O_2P_Escalera, mica rallada. No se visualiza imagen con visión nocturna. ED-O_4P_Escalera, mica rallada. No se visualiza imagen con visión nocturna. ED-O_4P_Salida_Emergencia, mica rallada. No se visualiza imagen con visión nocturna. |
| 32-PABELLON OC | 03 | TODAS |  |  |
| 33-TRABAJO SOCIAL | 01 | TODAS |  |  |
| 34-Edu_física | 01 | TODAS |  |  |
| 35-AGROINDUSTRIA | 21 |  |  | UA_Galpon_patio (telas de araña) se visualiza con visión nocturna. UA_2P_patio_secretaria (telas de araña) se visualiza con visión nocturna. UA_1P_Ing_Pasillo (telas de araña). |
| 36-MEDIO AMBIENTE | 01 | TODAS |  |  |
| 37-EXFUDEA | 08 | TODAS |  | EX Fudea_Ent_Principal (telas de araña), se divisa con visión nocturna. EX Fudea _Int_Escalera (telas de araña), se divisa con visión nocturna. |
| 38-GALPON OC | 06 |  |  |  |
| 39-GORE | 09 |  | 01 | Cancha Tenis04, sin conexión. GORE-Entrada 1, <se mantiene visibilidad, con un poco de dificultad. Cancha tenis 02(telas de araña) se divisa con visión Nocturna. Cancha de tenis 03(telas de araña) se divisa con visión nocturna. GORE_Entrada_AM_Vehicular(telas de araña). |
| 40-HOGARES | 14 | TODAS |  | Hogares-costado_3 (telas de araña) se divisa con visión nocturna. HOGARES- costado_2 (telas de araña) se visualiza con visión nocturna. Hogares-costado_1 (telas de araña) se visualiza con visión nocturna. HOGARES-Poste_PTZ_4 (telas de araña) se visualiza con visión nocturna. HOGARES-costado_1, funciona con intermitencia. Sin conexión. |
| 41-INSTITUTO INDIGENA | 01 | TODAS |  |  |
| 42-JARDIN INFANTIL | 08 | TODAS |  |  |
| 43- JUBILADOS | 02 | TODAS |  |  |
